paper,year,arxiv_or_venue,research_stage,input,optimization_target,needs_current_task_execution,needs_failure_trace,uses_counterfactual,intervention,benchmarks_or_scope,official_code,closest_overlap,difference_from_rolecheck
AgentInit: Initializing LLM-based Multi-Agent Systems via Diversity and Expertise Orchestration for Effective and Efficient Collaboration,2025,arXiv:2509.19236; Findings of EMNLP 2025,initialization,task description; generated/candidate roles and expertise,"team composition balancing task relevance, expertise and diversity",not a post-hoc tracer; method generates/selects agents for task,no,not central,generate and select initial team,multiple MAS frameworks and tasks; see paper,confirmed: https://github.com/1737423697/AgentInit,same research stage and role/team initialization,AgentInit constructs the team; RoleCheck audits already initialized roles and predicts protocol-conditioned keep/repair value.
Assemble Your Crew: Automatic Multi-agent Communication Topology Design via Autoregressive Graph Generation (ARG-Designer),2025,arXiv:2507.18224; AAAI 2026 Oral,initialization/design,natural-language task query; extensible role pool,"agent count, role selection and communication graph",design is conditioned on task; training/evaluation uses task outcomes,no,not central,generate collaboration graph from scratch,six reasoning/coding benchmarks according to paper,confirmed: https://github.com/Shiy-Li/ARG-Designer,task-specific role and structure design,ARG-Designer creates team composition/topology; RoleCheck is a post-initialization audit layer that preserves the design unless reliable value evidence supports intervention.
Multi-Agent Design: Optimizing Agents with Better Prompts and Topologies (MASS),2025,arXiv:2502.02533; ICLR 2026,offline system design optimization,"existing MAS blocks, prompts, workflows and task evaluations","local prompts, topology and global workflow prompts",requires evaluations during search,not necessarily,not primary framing,multi-stage search over prompts and topology,"reasoning, multi-hop QA and code tasks; see paper",not verified from primary paper page as of 2026-08-01,optimizes role prompts and system design,MASS searches a broad design space; RoleCheck predicts which initialized role or finite repair candidate has positive marginal value and favors minimal intervention.
MASPO: Joint Prompt Optimization for LLM-based Multi-Agent Systems,2026,arXiv:2605.06623,offline prompt optimization,"multi-agent prompts, interactions and task evaluations",joint refinement of prompts across the whole MAS,uses system-level evaluations during optimization,no full failure trace requirement in abstract,not central,iterative evolutionary beam prompt search,six diverse tasks according to paper,confirmed: https://github.com/wangzx1219/MASPO,role-specific prompt optimization with global outcomes,"MASPO jointly optimizes prompts; RoleCheck first estimates prospective keep and candidate-specific repair value, then edits selectively."
MAS-PromptBench: When Does Prompt Optimization Improve Multi-Agent LLM Systems?,2026,arXiv:2606.23664,benchmark/empirical study,"MAS setups varying in task, workflow, communication protocol and team size",evaluate system-prompt optimization gains,"yes, prompt optimizers are evaluated on tasks",no,no,applies multi-agent versions of prompt optimizers,broad task and framework configurations; see appendices,paper page states project/code links; exact repository should be re-verified,directly studies when MAS prompt optimization helps,MAS-PromptBench evaluates prompt optimization broadly; RoleCheck focuses on value-guided admission/repair and when not to optimize.
Optimizing LLM-Based Multi-Agent System with Textual Feedback: A Case Study on Software Development,2025,arXiv:2505.16086,post-execution/offline optimization,task performance and textual failure feedback,prompts of underperforming role-based agents,yes,"uses failure explanations/feedback, not necessarily long traces",not central,locate underperforming agents then rewrite prompts,software development case study with multiple evaluation dimensions,not confirmed from primary arXiv page as of 2026-08-01,identifies roles and rewrites prompts,"Closest conceptual competitor: RoleCheck must differentiate through prospective team-value prediction, finite candidate ranking, uncertainty and conservative abstention."
AgenTracer: Who Is Inducing Failure in the LLM Agentic Systems?,2025,arXiv:2509.03312,post-hoc failure attribution,failed multi-agent execution trajectories,responsible agent and failure step,yes,yes,yes; replay and programmed fault injection for data construction,diagnostic feedback; downstream system improvement reported,Who&When / TracerTraj; MetaGPT and MaAS applications,official repository not confirmed from primary arXiv page as of 2026-08-01,"auditing, actionable diagnosis and counterfactual terminology",AgenTracer explains observed failures after execution; RoleCheck predicts potential role value before the current task full execution.
Who Broke the System? Failure Localization in LLM-Based Multi-Agent Systems (AgentLocate),2026,arXiv:2607.07989,post-hoc failure localization,failed MAS trajectory,responsible agent and earliest decisive failure step,yes,yes,not central in abstract; confidence-aware multi-perspective verification,failure localization and judge adaptation,two failure-localization benchmarks according to paper,not confirmed as of 2026-08-01,role/agent-level auditing and localization,AgentLocate localizes responsibility in completed failures; RoleCheck is a pre-execution role-value and intervention layer.
Agents that Matter: Optimizing Multi-Agent LLMs via Removal-Based Attribution,2026,arXiv:2605.27621,post-execution attribution and intervention,executed MAS plus removal/replacement interventions,"agent contribution under specified coalition distribution, removal protocol and metric",yes,no long failure trace required,yes; explicit removal/replacement comparison,replace low-contribution backbones; audit roles,three benchmarks plus a medical MAS according to abstract,not confirmed from primary arXiv page as of 2026-08-01,closest formal contribution target: protocol-dependent removal attribution,It measures contribution through executed interventions; RoleCheck treats such values as labels/oracles and aims to predict them prospectively and use them for selective repair.
Counterfactual Credit Policy Optimization for Multi-Agent Collaboration (CCPO),2026,arXiv:2603.21563,multi-agent reinforcement learning/training,collaborative trajectories and shared terminal rewards,agent-specific policy advantages and collaborative policies,yes; rollout-based training,no dedicated failure trace,yes; outcome with agent contribution removed,policy optimization,mathematical/logical reasoning; Think–Reason and voting topologies,confirmed: https://github.com/bhai114/ccpo,counterfactual marginal contribution at agent level,CCPO uses counterfactual credit to train policies; RoleCheck predicts role value externally without optimizing the full policy.
LEMON: Learning Executable Multi-Agent Orchestration via Counterfactual Reinforcement Learning,2026,arXiv:2605.14483,orchestration generation/training,"task, executable orchestration specification and execution reward","roles, duties, capacity levels and dependency structure",uses execution rewards during training/evaluation,no,yes; localized edits and reward contrasts,train orchestrator to generate executable team designs,"MMLU, GSM8K, AQuA, MultiArith, SVAMP, HumanEval",paper reports: https://anonymous.4open.science/r/LEMON-B23C,counterfactual value of role/duty/dependency edits,LEMON trains a complete orchestration generator; RoleCheck audits externally generated teams and applies constrained role interventions.
MAPRO: Recasting Multi-Agent Prompt Optimization as Maximum a Posteriori Inference,2025,arXiv:2510.07475; Findings of EACL 2026,prompt optimization,fixed-topology MAS prompts and task evaluations,joint multi-agent prompt configuration,requires evaluations during optimization,no,not central,language-guided MAP/belief-propagation prompt optimization,see paper,not confirmed from primary source as of 2026-08-01,multi-agent prompt optimization under inter-agent coupling,MAPRO searches prompt configurations; RoleCheck predicts role-level keep and candidate-repair value and can abstain.
Multi-agent Architecture Search via Agentic Supernet (MaAS),2025,arXiv:2502.04180; ICML 2025 Oral,architecture search,task and agentic supernet/search space,distribution over agentic architectures,uses task evaluations for search/training,no,not central,select/search architecture,includes HumanEval; see repository/paper,confirmed: https://github.com/bingreeky/MaAS,automatic MAS design and downstream enhancement,MaAS searches architectures; RoleCheck audits an initializer output and limits changes to role-level minimal interventions.
Contextual Counterfactual Credit Assignment for Multi-Agent Reinforcement Learning in LLM Collaboration (C3),2026,arXiv:2603.06859,message/decision-level credit assignment and RL,sequential collaborative transcripts and terminal reward,localized message-level marginal advantage,yes,"uses full context/continuation replay, not failure-only traces",yes; fixed-context alternatives and leave-one-out baseline,policy-gradient optimization,mathematical and coding benchmarks according to paper,confirmed: https://github.com/EIT-EAST-Lab/C3,careful definition of context-matched counterfactuals,C3 assigns credit to messages/actions in executed trajectories; RoleCheck predicts role-configuration value before current-task execution.
